expenseName,expenseCategory
Swiggy order payment,Food
Ola cab fare,Travel
Dominos pizza order,Food
Amazon online shopping,Shopping
Swiggy order payment,Food
Petrol pump fuel payment,Travel
Flipkart electronics purchase,Shopping
Reliance Digital purchase,Shopping
Myntra clothing order,Shopping
McDonald's meal payment,Food
Groww ETF investment,Investment
RedBus bus ticket,Travel
Cafe coffee purchase at,Food
Personal loan EMI deduction,EMI
Dominos pizza order,Food
Cafe coffee purchase at,Food
Personal loan EMI deduction,EMI
Personal loan EMI deduction,EMI
Swiggy order payment,Food
HDFC home loan EMI,EMI
Cafe coffee purchase at,Food
SBI car loan EMI,EMI
MakeMyTrip hotel booking,Travel
Grocery purchase at Big Bazaar,Food
Flipkart electronics purchase,Shopping
Groww ETF investment,Investment
Flipkart electronics purchase,Shopping
Zomato dinner bill,Food
Credit card EMI installment,EMI
Petrol pump fuel payment,Travel
SBI car loan EMI,EMI
PPF contribution,Investment
Ola cab fare,Travel
Myntra clothing order,Shopping
Fixed deposit investment,Investment
Ola cab fare,Travel
McDonald's meal payment,Food
Zomato dinner bill,Food
Fixed deposit investment,Investment
Fixed deposit investment,Investment
Myntra clothing order,Shopping
Dominos pizza order,Food
Myntra clothing order,Shopping
HDFC home loan EMI,EMI
IndiGo flight ticket,Travel
Personal loan EMI deduction,EMI
Amazon online shopping,Shopping
Personal loan EMI deduction,EMI
IRCTC train ticket booking,Travel
IKEA furniture shopping,Shopping
Myntra clothing order,Shopping
Restaurant dining at,Food
SBI car loan EMI,EMI
Amazon online shopping,Shopping
SIP investment in mutual fund,Investment
Flipkart electronics purchase,Shopping
Fixed deposit investment,Investment
IKEA furniture shopping,Shopping
Petrol pump fuel payment,Travel
MakeMyTrip hotel booking,Travel
Credit card EMI installment,EMI
SIP investment in mutual fund,Investment
Restaurant dining at,Food
Flipkart electronics purchase,Shopping
Swiggy order payment,Food
Zomato dinner bill,Food
McDonald's meal payment,Food
Flipkart electronics purchase,Shopping
Zerodha stock purchase,Investment
IKEA furniture shopping,Shopping
PPF contribution,Investment
Dominos pizza order,Food
